SAP_FLUX,SAP_BKG,PDCSAP_FLUX,MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,RESULT
264205.557289,5545.69205491,268724.601281,24.6876725758,97.6262427181,-1.38245966474,-5.34672960653,0
238432.249413,3882.35699633,249807.051489,20.225287591,92.0793022745,-0.0216488393546,-0.147098221693,0
70556.9440636,2119.27641858,80235.3475204,23.3357195806,96.7008982885,-0.00139597546382,-0.00453025872755,0
54052.9750867,1323.69630235,68155.2073255,27.5134326646,91.7612726307,-0.760098367607,-2.4650931231,0
64900.6995835,3273.38889289,71927.4629988,25.8590954597,96.2571666141,0.0143405719692,0.0244643737526,0
64610.2812802,2663.72947381,71029.5327603,22.9842478101,97.5875360512,-1.11906439013,-4.68370634969,0
67948.053885,2233.76661537,76919.072484,22.8839318789,94.421657448,-0.0292132879374,-0.0576126815185,0
56375.7574102,1549.12570483,69463.4510609,28.5437413767,95.1609739778,-0.00226352708512,0.00488321995047,0
66060.2795143,3309.47685212,73381.552625,26.4048165864,98.2327634094,0.0116482432845,0.0234556115541,0
65516.3553246,2787.44185574,71781.9215629,23.2863466814,98.8721786079,-1.05766115664,-4.36516423789,0
69481.6454947,2621.19584523,77608.590509,23.06275688,95.2173862493,-0.0642062550147,-0.187240496386,0
56984.583761,1556.10870934,70299.4709385,28.5394580666,95.1401006622,-0.0321330475984,-0.0805014380555,0
63200.5448225,2877.47644521,71582.9136599,25.9248330099,96.5438785176,-0.702902930259,-2.53853138846,0
67084.2463372,2812.75306438,66873.0994799,23.6557048858,100.645904023,-0.11304392899,-0.478346426235,0
68504.4031805,2386.25060077,76674.0027797,22.9393296068,94.8093094053,-0.0339471198311,-0.0818353799332,0
51996.4313167,1448.39707048,63349.7739483,26.6892660815,88.9740052515,-1.50589338785,-4.83830638824,0
60656.9009169,3167.83180841,67085.0387029,25.0722778072,93.2826017356,-1.40957954544,-5.09658070867,0
56878.8635433,2426.55347458,62086.6912919,20.6954830488,88.0184522966,-0.0224352316646,-0.139957868633,0
3029539.97056,9525.4249459,3030510.74771,15.0755550779,64.7856238414,-0.00142993146019,-0.00461293446972,0
2707732.57556,8170.26005675,2701633.76056,19.4664132733,62.9715046882,-0.543708065943,-1.69971953455,0
2836901.11894,10110.2974987,2836381.57254,17.7594205084,66.9062949099,0.0148900875428,0.024952877172,0
2798073.4345,11522.6424755,2793472.16227,14.8011722151,68.4235062646,-0.726795101771,-3.30816862449,0
2953516.80519,10052.3025917,2952636.34549,14.7975305716,63.3093544668,-0.0272772519331,-0.0514527976613,0
2787872.01643,8630.44775368,2785938.46885,20.2014291123,65.3194260813,-0.0020409706345,0.00525203031813,0
2874793.40491,10164.6224176,2876380.27869,18.1120786655,68.2528077783,0.0117562833634,0.0236673023578,0
2819882.80124,12618.0269339,2815421.46722,14.9897871859,69.3346080873,-0.694767227665,-3.08580417534,0
2957162.05123,10522.1581476,2956806.56795,14.8768532077,63.8582522059,-0.0507589327541,-0.142425199717,0
2770576.05647,8666.76433089,2768820.07386,20.1982523575,65.3105637772,-0.0243610012408,-0.0529842848747,0
