MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,SAP_FLUX,SAP_BKG,PDCSAP_FLUX,RESULT
2.1893985938700226E8,2.191757904081386E8,2.188667105426802E8,2.1888585186853203E8,1.16677114E8,2.3725755364000043E8,9.4157401E7,0
2.1892601585206994E8,2.1916023635700807E8,2.1886035345148322E8,2.1886098212946862E8,1.24706682E8,2.3180729613999993E8,6.6878208E7,0
2.1886467300949442E8,2.188794554342615E8,2.188600507100854E8,2.1886005914216143E8,2.3262076400000033E8,2.192558525000004E8,2.3475983180000025E8,0
2.1893967726263478E8,2.191258621212203E8,2.1886350096655688E8,2.1887098016223776E8,3.741326698999992E8,2.2269357507999903E8,4.180453844000018E8,0
2.1893480548835668E8,2.1913834515684354E8,2.1886005024302053E8,2.1886012335646868E8,4.069856652000025E8,2.2855054091000023E8,4.262955369000003E8,0
2.189263585049564E8,2.1914133774237484E8,2.188652756502593E8,2.1888104605970284E8,4.06277369399999E8,2.2680372840000066E8,4.237317816999999E8,0
2.1893277677868217E8,2.1916014188278544E8,2.1886018838295522E8,2.188603916270839E8,4.3433158169999987E8,2.255839997400006E8,4.6343218600000024E8,0
2.189440390599245E8,2.1914026360024282E8,2.1886021422406638E8,2.188603045758548E8,3.841209369000007E8,2.2341714050000098E8,4.231962821000006E8,0
2.1893690280907795E8,2.1914601846501774E8,2.1886005239567974E8,2.1886012756619436E8,4.116594791000013E8,2.2869763380000016E8,4.325719361000003E8,0
2.1890164351788503E8,2.190364789302491E8,2.188636680961485E8,2.1887455132863688E8,3.366267339E8,2.2395974080000016E8,3.4752193219999933E8,0
2.1893674195725206E8,2.191765465079236E8,2.1886035133931974E8,2.1886096522467253E8,4.493293276000013E8,2.271269146900006E8,4.767069622999996E8,0
2.1894912240384233E8,2.1915719610046092E8,2.188603514306053E8,2.1886075579037634E8,3.9640518199999994E8,2.2370506842999998E8,4.3859775380000037E8,0
2.189446786986299E8,2.191752453658663E8,2.1886343491194576E8,2.1887235126262286E8,4.2667714060000014E8,2.284545380099989E8,4.5295426459999883E8,0
2.1892108476931983E8,2.191195292278056E8,2.1886069461763972E8,2.1886229054131204E8,3.924736320999999E8,2.2636386150000072E8,3.81727061299999E8,0
2.189281352568953E8,2.1914132009150702E8,2.1886019422451705E8,2.188604241134355E8,4.22385871999999E8,2.255746572099999E8,4.467291683999995E8,0
2.1894544459763083E8,2.1914495650363374E8,2.188673294615753E8,2.188833186962442E8,3.837741469000011E8,2.2346673450000015E8,4.209148310000002E8,0
2.189411219770718E8,2.1916171082347214E8,2.1886684056709483E8,2.1888465632795516E8,4.160326540000004E8,2.293692510899999E8,4.3608155819999963E8,0
2.18927524266399E8,2.1914693518888932E8,2.1886035652389708E8,2.1886095225526452E8,4.0500586309999996E8,2.2695245528000027E8,4.212114569000002E8,0
2.1886303759989396E8,2.1887297959949544E8,2.1886005076864472E8,2.1886005951643762E8,4.473010934E9,2.2063927329999968E8,4.474602024E9,0
